ID,Lab,Hand,Sex,CDA2,CDA4,CDA6,Contra,Ipsi,K,D_prime
sub-Vog001,Dartmouth,r,f,-0.225709612377587,-0.138243843280135,-0.197967889619959,-1.5432607853689,-1.35530684584268,2.79276791267099,2.58800220150584
sub-Vog002,Dartmouth,r,f,0.225772968252331,0.177427898246699,-0.0444375878225675,-2.24190118596173,-2.37421335382138,2.77101086617203,2.74421268998142
sub-Vog004,Dartmouth,r,f,0.105699581537078,-0.133187926220279,-0.677086764278856,-0.149352411550347,0.0747290059052219,2.39118008601577,2.82729591385549
sub-Vog005,Dartmouth,r,f,-0.617189877302414,-0.855817873097573,-0.771301894157141,-5.01448643168439,-4.25991770265145,2.23807602588893,2.05867841373431
sub-Vog007,Dartmouth,r,f,-0.125924464196936,-0.901377238838208,-0.84499601306848,-1.79832834761532,-1.17553475084806,2.70849820529076,2.42657688000991
sub-Vog008,Dartmouth,r,m,-0.207042980637339,0.205994102552842,0.175210241021687,-1.77247287512545,-1.84732251683171,1.17868126948338,1.13508708577577
sub-Vog011,Dartmouth,r,f,-0.538296011368947,-0.971409834559281,-0.408587130391915,-0.175692899333732,0.46850637986007,1.86754396770878,2.39442847398863
sub-Vog012,Dartmouth,l,f,-1.26997355589908,-1.28086406461972,-0.84834637576812,-3.86892400648339,-2.73628372691162,2.42030801019688,1.98110498777183
sub-Vog013,Dartmouth,r,f,-0.336953075829892,-0.728158886055415,-0.118534420849842,-1.84527175623847,-1.47307943464002,1.67272352306618,1.9693552593427
sub-Vog014,Dartmouth,r,f,-2.61494315834792,-3.26662982550772,-3.26040827848006,-2.53143951603934,0.513297183890423,2.21631451500403,2.01740588838794
sub-Vog015,Dartmouth,r,f,-0.706114998224722,-0.697771261305332,-0.973682021286406,-2.43715295672753,-1.63844308070249,2.15605010155291,2.0421828590382
sub-Vog016,Dartmouth,r,f,-0.499403693667862,-0.161760817584153,0.15084547249355,-5.76502078001342,-5.60978825398878,1.22947820666916,1.08890090305522
sub-Vog017,Dartmouth,r,m,-1.01618231518113,-1.91059588574704,-1.32758958143574,-3.55961043541206,-2.12305319105842,2.10441230997405,2.22799745540601
sub-Vog018,Dartmouth,l,m,-0.700211600365428,-0.438641463884506,-0.364620321715956,-0.330723012212676,0.185037701315817,1.4733452450293,1.31212292447766
sub-Vog019,Dartmouth,r,f,-0.781915949101094,-1.23584374916796,-0.538022158171647,-0.599741194672989,0.255000113441708,1.83724173225526,1.57098826901982
sub-Vog020,Dartmouth,l,f,-0.87572158070641,-1.4508607727534,-1.22683955726399,-3.31166117784535,-2.12706574232514,2.3886282586286,2.24576025058921
sub-Vog021,Dartmouth,r,m,-0.810920535070468,-1.2717447292132,-1.2318704401506,-3.5240809603433,-2.42758592247379,3.45322340275804,3.43313396178619
sub-Vog022,Dartmouth,r,f,-0.243559442550767,-0.784606096653749,-0.957886645762779,-1.21381780831289,-0.56188480669724,2.16160161632276,1.90819896739047
sub-Vog023,Dartmouth,n/a,m,-0.422564830046153,-0.642763780736892,-0.374424408116653,-2.10005686834182,-1.60615712347357,2.43260265286313,2.0472530836238
sub-Vog024,Dartmouth,n/a,m,-0.36583394032486,-0.258193665130262,-0.667534072239216,-2.9430905248569,-2.55569187230157,2.35585143257143,2.24286059261272
sub-Vog025,Dartmouth,r,m,-0.285963719315491,-0.856512479617368,-0.626382672849502,-3.05068820975319,-2.46402718643302,2.11148329701309,2.60412094857821
sub-Vog027,Dartmouth,r,f,-1.72856166901017,-1.80349502536203,-1.92147704742116,0.513288572410566,2.38590570265487,2.36654947701123,3.09847923185692
sub-Vog028,Dartmouth,r,f,-0.00321458865671018,-0.500694998733448,-0.198144253024131,-1.81065761884574,-1.56940368031939,2.62578812166656,2.16524510522239
